id,name,genus,scientific_name,show_name,resource_id,legend,character,speed_power_coeff_a,speed_power_exponent_b,数据来源/注释 (速度:cm/s, 体长:cm)
101020001,fish_redear_sunfish,Centrarchidae,Redear Sunfish,小冠太阳鱼,fish_redear_sunfish_2D,否,Fierce01,7.8,0.5,"缺乏具体数据。基于太阳鱼科(Centrarchidae)体型较深，持续游泳能力中等，估计 b=0.5。a 值基于蓝鳃太阳鱼(近亲)估计。"
101020002,fish_buffalo,Catostomidae,Buffalo,水牛鱼,fish_buffalo_2D,否,Fierce02,7.2,0.6,"缺乏具体数据。基于胭脂鱼科(Catostomidae)体型和中等游泳能力估计 b=0.6。a 值参考一般中大型淡水鱼估计。"
101020003,fish_bowfin,Amiidae,Bowfin,弓鳍鱼,fish_bowfin_2D,否,Mild01,9.3,0.4,"缺乏具体数据。弓鳍鱼游泳方式较特殊，持续游泳能力可能不强，估计 b 偏低=0.4。a 值基于其体型和一般速度估计。"
101020004,fish_yellow_perch,Percidae,Yellow Perch,黄鲈,fish_yellow_perch_2D,否,Fierce03,9.6,0.55,"缺乏具体数据。基于鲈科(Percidae)掠食性，游泳能力中等偏上，估计 b=0.55。a 值参考近似体型的 Walleye 估计。"
101020005,fish_channel_catfish,Ictaluridae,Channel Catfish,斑点叉尾鮰,fish_channel_catfish_2D,否,Fierce04,6.8,0.7,"文献中 Ucrit 数据变异较大，b 值有报道在 0.6-0.7 范围。选择 b=0.7。a 值基于文献报道的特定尺寸下的 Ucrit (约 55cm/s @ 25cm) 反推估计。"
101020006,fish_muskellunge,Esocidae,Muskellunge,北美狗鱼,fish_muskellunge_2D,否,Fierce05,8.4,0.6,"缺乏具体数据。狗鱼(Esocidae)爆发力强，持续游泳能力中等偏上，估计 b=0.6。a 值基于大型掠食鱼类估计。"
101020007,fish_alewife,Clupeidae,Alewife,灰西鲱,fish_alewife_2D,否,Fierce06,10.0,0.65,"缺乏具体数据。鲱科(Clupeidae)通常集群洄游，游泳能力较好，估计 b=0.65。a 值基于小型集群鱼类估计。"
101020008,fish_striped_bass,Moronidae,Striped Bass,美洲条纹狼鲈,fish_striped_bass_2D,否,Fierce07,9.0,0.6,"缺乏具体数据。狼鲈科(Moronidae)是较强壮的游泳者，估计 b=0.6。a 值基于中大型掠食鱼类估计。"
101020009,fish_blacktail_shiner,Leuciscidae,Blacktail Shiner,迷人真小鲤,fish_blacktail_shiner_2D,否,Fierce08,7.9,0.5,"缺乏具体数据。小型鲤科(Leuciscidae)鱼类，游泳能力一般，估计 b=0.5。a 值基于小型鲤科鱼类估计。"
101020010,fish_brook_trout,Salmonidae,Brook Trout,美洲红点鲑,fish_brook_trout_2D,否,Fierce09,10.8,0.6,"缺乏具体数据。鲑科(Salmonidae)游泳能力强，参考虹鳟数据估计 b=0.6, a=10.8。"
